,Q_verhard,Q_dak,Q_verhard_mean_2,Q_verhard_mean_3,Q_verhard_mean_5,Q_verhard_mean_10,Q_verhard_mean_20,Q_verhard_mean_30,Q_dak_mean_2,Q_dak_mean_3,Q_dak_mean_5,Q_dak_mean_10,Q_dak_mean_20,Q_dak_mean_30,Q_verhard_shift_1,Q_verhard_shift_3,Q_verhard_shift_7,Q_dak_shift_1,Q_dak_shift_3,Q_dak_shift_7
2023-10-28 06:00:00,-0.17705323051661787,-0.12221373315849113,-0.20883968125912755,-0.23316711642813254,-0.2696262692565703,-0.3371660756091276,-0.2742040395935508,0.8824113552213539,-0.2107355266698098,-0.181485858629006,-0.2545227699083104,-0.3783252197839789,-0.3883417488112616,0.9133060088416343,-0.1764572911463259,-0.1781536515987832,-0.17665241409377117,-0.24631676905238023,-0.2051479734914266,-0.24716777690122999
2023-10-28 07:00:00,-0.17452333397499462,-0.10455291651205305,-0.20769431788181753,-0.2326254520204195,-0.2688694366178885,-0.33771928441644483,-0.2737842064400698,0.8827637326759046,-0.1296711915642913,-0.19872963653216744,-0.21368272271496674,-0.3531047803057766,-0.3724025048345259,0.9256543647993106,-0.1770483878670172,-0.17574197969685434,-0.17679354540009898,-0.12221373315849113,-0.0635034507933051,-0.24716777690122999
2023-10-28 08:00:00,-0.17759704005360233,-0.24631676905238023,-0.20801557834130693,-0.23312544993523154,-0.2686964463004755,-0.33922599133068276,-0.27516241734391084,0.8828887698371971,-0.20063660276777548,-0.19872963653216744,-0.2255428374302053,-0.3531047803057766,-0.3724025048345259,0.9256543647993106,-0.17451849390245844,-0.17645129496212755,-0.17994547790808738,-0.10455291651205305,-0.2463167690523802,-0.24514753352258248
2023-10-28 09:00:00,-0.17875559080630832,-0.24631676905238023,-0.21051582278689843,-0.23387544680744954,-0.2696118533967859,-0.3399456125434532,-0.4446562999068417,0.8827705528847027,-0.281700937873294,-0.25086198833242274,-0.27820862219468573,-0.3531047803057766,-0.49017580755151696,0.925155441326273,-0.17759219685005323,-0.17704239101652186,-0.17867529615113684,-0.24631676905238023,-0.1222137331584911,-0.24716777690122999
2023-10-28 10:00:00,-0.1773369572315663,-0.24631676905238023,-0.2103621764801861,-0.23511502497125433,-0.26987854680279755,-0.34036839000595565,-0.4447634297460058,0.8046109600623383,-0.281700937873294,-0.3104131748119443,-0.27820862219468573,-0.3531047803057766,-0.5001311266009596,0.8213169935003605,-0.1787507464226082,-0.17451249990371415,-0.1798278684861475,-0.24631676905238023,-0.10455291651205303,-0.20616872009926582
2023-10-28 11:00:00,-0.17804627401893733,-0.24631676905238023,-0.20994314109824339,-0.2353129408125341,-0.2701812798582703,-0.3403234136801575,-0.44502112044021136,0.6842069939466301,-0.281700937873294,-0.3104131748119443,-0.3139608520609126,-0.35346567885049834,-0.5001311266009596,0.6014788381932497,-0.17733211429294904,-0.17758619938656467,-0.17742863627857428,-0.24631676905238023,-0.2463167690523802,-0.06510819713134852
2023-10-28 12:00:00,-0.17516171908362851,-0.24452682141929527,-0.20865809926028575,-0.23372961408229606,-0.2703758939653599,-0.339972598338932,-0.44481844236611706,0.36463929051864574,-0.28067739828862837,-0.30966126589174925,-0.3542852420927244,-0.35314723895809685,-0.49992987352044527,0.209907065771051,-0.1780414303577786,-0.17874474765317758,-0.17813429281021345,-0.24631676905238023,-0.2463167690523802,-0.24716777690122999
2023-10-28 13:00:00,-0.17700594273079315,-0.24631676905238023,-0.20804351403343643,-0.23358378135714253,-0.2701956957180547,-0.33975221434252106,-0.4446678815110756,-0.05967545302831563,-0.28067739828862837,-0.30966126589174925,-0.3542852420927244,-0.3604713564833324,-0.5066651432816585,-0.20534278314238164,-0.17515687836080504,-0.17732611712263116,-0.17872233991991276,-0.24452682141929527,-0.2463167690523802,-0.12357641726632351
2023-10-28 14:00:00,-0.17788076676855075,-0.24631676905238023,-0.2096498163308835,-0.23351086499456583,-0.26992900231204303,-0.3401570012747044,-0.44535409156193767,-0.32279228823721534,-0.281700937873294,-0.30966126589174925,-0.3542852420927244,-0.3929946841606101,-0.506691977025727,-0.4674127315943058,-0.1770011001293619,-0.17803543238790437,-0.1762054982903997,-0.24631676905238023,-0.2463167690523802,-0.10598841608750989
2023-10-28 15:00:00,-0.1739322366521854,-0.24631676905238023,-0.20783399634246508,-0.23296920058685275,-0.2688910604075651,-0.3396757545886642,-0.44451732065603416,-0.3981624156612945,-0.281700937873294,-0.3104131748119443,-0.3542852420927244,-0.3929946841606101,-0.5086105897266304,-0.5133760565478778,-0.17787592327598503,-0.17515088364246,-0.17926334326083615,-0.24631676905238023,-0.24452682141929524,-0.24716777690122999
